id,song_name,artist,pic_url,preview_url,decade,release_year
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,Louis Armstrong,https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed,,1960,1968
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,The Beatles,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,,1960,1969
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones,https://i.scdn.co/image/ab67616d0000b2732af30c881bb23cfb82a8cf99,,1960,1969
4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,https://i.scdn.co/image/ab67616d0000b273b2229a8fdf377abaf3652624,,1960,1960
7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin,https://i.scdn.co/image/ab67616d0000b2736aa9314b7ddfbd8f036ba3ac,https://p.scdn.co/mp3-preview/7768dd513193e30ab1ad19deeff2dcc63d2c7555?cid=f4f54a850da14f27a6e2b44603fe8013,1960,1967
0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4,https://p.scdn.co/mp3-preview/b48d5e6bd6312c23e674b6d3c5293438190cd99b?cid=f4f54a850da14f27a6e2b44603fe8013,1960,1968
1JO1xLtVc8mWhIoE3YaCL0,Happy Together,The Turtles,https://i.scdn.co/image/ab67616d0000b27372649ad8e79d1e8bdd54c929,https://p.scdn.co/mp3-preview/8c691e6232f9abae21be72ed15407fd90657a73e?cid=f4f54a850da14f27a6e2b44603fe8013,1960,1967
6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,https://i.scdn.co/image/ab67616d0000b273c0fa62ae53b2aeae3766f13d,,1960,1965
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin,https://i.scdn.co/image/ab67616d0000b273fc4f17340773c6c3579fea0d,https://p.scdn.co/mp3-preview/89f3dc45265602fa874c23d638538af0f2c6b56a?cid=f4f54a850da14f27a6e2b44603fe8013,1960,1969
3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,The Beatles,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,,1960,1965
